,Company,Company Description,Date Victimised,No of views,Comment
100,CYBERFREIGHT SYSTEMS MARITIMES INC.,"Cyberfreight Maritimes Inc., is a Canadian transportation and logistics management company. We have over 100 years of transportation knowledge and a worldwide network of offices.
To provide the most reliable, expeditious and economical means of transportation to exporters and importers without compromise, thus participating in their growth.", 25.06.2023, 71270,"rvers:,Invoice,Purchase and sale agreements,Internal documents,Financial documents,Agreements,Personal documents,Other,Large database of confidential information,,Negotiations are underway at this stage"
101,Law Offices of Sergio J. Siderman,"This Law Office of Sergio G. has become our goal. They receive the highest quality legal representation for those who wish to obtain citizenship in connection with the content. Their team of immigration attorneys get the Citizen's Vision (""Green Card""), resolve issues with the Department of Homeland Security, and have access to the services you need to make your dream goals come true.

https://sidermanlaw.com/", 22.06.2023, 72278,"sports,Checks,Correspondence,SSN,Dossier,Huge amount of personal data,Other"
102,Studio Legale Ranchino,"Ranchino Law Firm is a professional association with offices in Rome and Milan, specializing in the management, out-of-court and judicial proceedings and assessment (due diligence) of non-performing loans and illiquid payments, as well as in banking, finance, bankruptcy law, real estate and financial lease.

https://www.studioranchino.com/", 22.06.2023, 72250,"ver's license,Internal documents,Personal data,Receipts,Accounts,Agreements,Letters (correspondence),Other"
103,Ligas Gerais Industria E Comercio,"Ligas Gerais Industria E Comercio specializes in the processing and marketing of metallic Silicon, ferrosilicon, special alloys and inputs for non-ferrous metallurgy, steelmaking and refractories, in addition, the new unit, located in São João Del Rei is specially designed for the production of high purity metallic silicon and ferroalloys

http://www.ligasgerais.com.br/", 22.06.2023, 73555,"ard with data,Powers of attorney,Internal documentation,Driver's license,CTPS Digital,Financial documents,Receipts,Different transactions,Other"
104,Stone Fox Ventures,"StoneFox Ventures is a boutique private investment company that acquires, structures, manages and develops mid-level manufacturing, distribution and service companies. With a dual focus on modernization investments and acquisition and growth strategies, SFV recognizes the best opportunity for shareholders to generate significant returns.

https://stonefoxventures.com/", 22.06.2023, 72281,1288-132023.zip
105,Hornbill,"Hornbill is the workflow app everyone can use—across your whole organization Hornbill is an innovator of cloud-based business collaboration technology and applications that engage teams, optimise operations and deliver better customer experiences. Our new collaborative Services Management application combines 2 decades of ITSM experience with a powerful, innovative collaboration platform, allowing teams to connect anywhere, anytime, in any language. Hornbills software supports customers at thousands of commercial and governmental sites worldwide

https://www.hornbill.com/", 22.06.2023, 75727,
106,"DANIEL C. HARRIS, O.D","Dr. Tim Harris received his Doctor of Optometry degree from Ferris State University College of Optometry in 1991. During his four-year optometry curriculum, he performed clinical rotations at the Duane Waters Correctional Facility and the Battle Creek Veterans Administration Hospital, where his training focused on diagnosis and treatment of ocular disease. His specialty areas include diagnosis and treatment of glaucoma, dry eye, contact lenses and family vision care.

https://harriseyecareofdavison.com/", 22.06.2023, 73975,
107,Law Society of South Africa,"Law Society of South Africa
https://www.lssa.org.za/about-us/
Attorneys and advocates in South Africa are registered with the Legal Practice Council in terms of the Legal Practice Act 28 of 2014. Since 1998 the Law Society of South Africa (LSSA) has represented the attorneys’ profession.
The LSSA brings together the Black Lawyers Association, the National Association of Democratic Lawyers and provincial attorneys’ associations,  in representing the attorneys’ profession in South Africa.
There are currently some 27 200 practising attorneys and 7 000 candidate attorneys in South Africa. Attorneys are officers of the court and are registered on the roll of attorneys at the Legal Practice Council.", 21.06.2023, 72258,",#1bd: CRM,CRM_Person -> first name, last name, middle name, gender, id_number, university / school, mail, address = 250.000 lines,CRM_Email -> mail list = 86.000 lines,,#2bd: Integration_Net,ShipToLocation -> first name, last name, address, phone, fax, mail, purchase date = about 500.000 lines,NationalAccountName -> company name, mail, phone, fax, website, contact person (name), contact mail, contact phone, address = about 200.000 lines,,#3 bd: people,payslipTotal -> big pay slip with dates = about 500.000 lines,employeeTaxTotal -> large payroll table = about 100,000 lines,GenEntity -> Name, company name, TaxNo, date of birth, IDNumber, PassportNo, phone, mail (information about employees) = 1300 lines,BankDetail -> AccountNo, AccountName, BankID = 1400 lines,TAXMonthlyTotal -> monthly reporting,,#4 bd: srpos,srpos_customers -> full name, address, contact person, phone, fax, mail, credit limit, TaxRegNo, website (customer information) = 90.000 lines,srpos_CustomersShipTo -> name, address, phone, fax (delivery info) = 80.000 lines,srpos_vendors -> name, address, contact person, phone, fax, mail, TaxRegNo = 80.000 lines,,And a lot of files."
108,Transprensa,"Transprensa Transport Company has become another interesting job. Engaged in the collection, dispatch and distribution of goods with guaranteed delivery. The VALLE PRESS S.A. S CONVEYOR COMPANY, dedicated to ensuring the safety and happiness of Colombians for more than six decades, remains one of the 700 most successful companies in Valle del Cauca

https://transprensa.com/", 19.06.2023, 72971,"database, over 164.5GB gigabytes of data.,Customer database,Receipts,Accounting documents,Report on financial portfolios (value of portfolios),Employment contracts,Various personal data (marriage certificate\diplomas\other),Driver's license,Personal dossier of candidates\Employees (addresses\phone numbers\email),Databases from 50,000 numbers\email\FULL name,Money transfers,,https://pixeldrain.com/l/fRThS6WF"
109,Ampla Divisórias,"“Ampla Divisórias enchanted us with its experience, professionalism and efficiency! It is a company that values quality and excellence in service provision, in the products supplied, in customer service and after sales, with experienced, dedicated and helpful professionals!”

In the market for over 30 years, Ampla is recognized for its dividers and differentiated solutions for corporate environments.
Ampla's strategic focus is on excellence in production and finishing, combined with the guarantee of a competitive price and strict compliance with the delivery deadline.

https://www.ampladivisorias.com.br/", 19.06.2023, 73264,"database, over 85 gigabytes of data.,Bills and checks,Contracts,Licenses,Internal documents,cash flows,Personal data of employees (addresses\phones),Driving licenses,CPF,Employment books,Vaccination certificates,Building layout,,https://anonfiles.com/xev6ubxbz4/AMPLA_part01_rar,https://anonfiles.com/t0Zbtdxfz4/AMPLA_part02_rar,https://anonfiles.com/Fac9udx9z2/AMPLA_part03_rar,https://anonfiles.com/P2b1u0x7zb/AMPLA_part04_rar,https://anonfiles.com/h2e6u9x1za/AMPLA_part05_rar,https://anonfiles.com/J6Wdtbx6z6/AMPLA_part06_rar,https://anonfiles.com/l5Cdtfx0zb/AMPLA_part07_rar,,We downloaded this company's data, and confidential information, because they trusted this company to handle the security of the corporate network:,www.sticonsultoria.com.br - STI Consultoria"
110,RJP MEDICAL LTDA,"We were attracted by the Premier Hospital Dia, dedicated exclusively to plastic surgery, which combines modern equipment, qualified specialists and typical accommodation from the best hotels. It is there that ROBERTO JUNQUEIRA POLIZZI performs most of his procedures.

The facility's infrastructure includes five operating rooms, 2 beds for semi-intensive therapy, nine suites and six small apartments for low-stay operations.

https://robertopolizzi.com.br/", 19.06.2023, 73071,"database, over 1,3GB of data.,Driver's license,Brazilian SSN (CPF ID),Personal data,Accounts,Receipts,Certificates from covid,Internal documents of the company,Personal data about patients,,https://anonfiles.com/E9m8j0x4z7/RJP_rar,,We downloaded this company's data, and confidential information, because they trusted this company to handle the security of the corporate network:,www.sticonsultoria.com.br - STI Consultoria"
111,SINTTEL,"The SINTTEL trade union was worked out by us, as it has a percentage of unions that still remains above the average in Brazil, taking into account several professional categories. Proof of your authority among the workers. After all, they are the ones who produce SINTTEL and keep its history.

https://sinttelmg.org.br/", 19.06.2023, 73047,"database, over 55,6GB of data.,Internal documentation,Receipts,Handwritten documents,Driving license,Personal data,Powers of attorney,Employment contracts,CPF (more than 10 thousand),,https://anonfiles.com/xbLfo1x2z9/SINTTEL_part1_rar,https://anonfiles.com/kaK8oexaz3/SINTTEL_part2_rar,https://anonfiles.com/A2Q3ocx1z8/SINTTEL_part3_rar,https://anonfiles.com/q224o3x6z5/SINTTEL_part4_rar,,We downloaded this company's data, and confidential information, because they trusted this company to handle the security of the corporate network:,www.sticonsultoria.com.br - STI Consultoria"
112,CLONARTE,"Clonarte is a printing company operating since 2005 in the segment of a printing house specializing in digital technologies, as well as printing outsourcing.

Having experience in servicing corporate clients, Clonarte can meet specific and individual requirements either in its printing fleet or by outsourcing from the client himself through equipment rental.

http://www.clonarte.com.br/", 19.06.2023, 74047,"database, over 10.8GB of data.,Receipts,Financial documents,ID of the identity,Building plans,Birth certificate,Internal documents,Certificates with CPF,Schemes,,https://anonfiles.com/e1C1j1xbz9/CLONARTE_rar,,We downloaded this company's data, and confidential information, because they trusted this company to handle the security of the corporate network:,www.sticonsultoria.com.br - STI Consultoria"
113,PREMIER HOSPITAL DIA,"Premier Hospital came under attack. Premier was opened in November 2016 with a differentiated concept of providing high-quality hospital care in the segment of planned operations. The hospital meets high standards of service, offers differentiated services, as well as well-being, safety and humanized care

https://www.premierhospitaldia.com.br/", 19.06.2023, 73150,"database, over 65.1GB of data.,Receipts,Accounts,Card ID with CPF,Employee dossiers,Internal documentation,Doctor - patient correspondence,Cadastral documents,Tables with CPF and personal data of clients,Workbooks,Driver's license,Employment contracts,Accounting documents,,https://anonfiles.com/M5gct5x4z6/RPF_part1_rar,https://anonfiles.com/Qcm8tfx3z8/RPF_part2_rar,https://anonfiles.com/Q3jftex6z6/RPF_part3_rar,https://anonfiles.com/b2ictcx3z3/RPF_part4_rar,,We downloaded this company's data, and confidential information, because they trusted this company to handle the security of the corporate network:,www.sticonsultoria.com.br - STI Consultoria"
114,TECHCERT,"Techcert has distinguished itself by its vulnerability, but has been specializing in innovative solutions for the educational market for 18 years. Recommended applications with digital certification in Academic routines, Digitization and Digital Diploma!

https://techcert.com.br/", 19.06.2023, 72748,"database, over 24.2GB of data.,CPF ID,CPF database\e-mail,Driver's license,Employment contracts,Workbooks,Passport,Internal agreements,Receipts,Cadastral documents,Declarations,Contracts with partners,,https://anonfiles.com/W0N6l9x1z6/TECHCERT_part1_rar,https://anonfiles.com/26Rcl4x0z7/TECHCERT_part2_rar,https://anonfiles.com/Aax8l7x2za/TECHCERT_part3_rar,,We downloaded this company's data, and confidential information, because they trusted this company to handle the security of the corporate network:,www.sticonsultoria.com.br - STI Consultoria"
115,LUZBOA S.A,LUZBOA S.A, 19.06.2023, 72921,"database, over 27.1 GB of data.,Passports,Driver's license,Various personal documents,ID with CPF,Employment contracts,Receipts,Cadastral documents,Powers of attorney,Internal documents,Agreements with partners,Base with FOR,Accounting documents,,https://anonfiles.com/jco6kfx7zd/LUSBOA_part1_rar,https://anonfiles.com/6enakex4z2/LUSBOA_part2_rar,https://anonfiles.com/F7S1j3x7zd/LUSBOA_part3_rar,,We downloaded this company's data, and confidential information, because they trusted this company to handle the security of the corporate network:,www.sticonsultoria.com.br - STI Consultoria"
116,Defesa da Classe Trabalhadora (Declatra),"Defesa da Classe Trabalhadora (Declatra) has become one of the objects of our interest. They specialize in labor law and trade union legislation for the protection of workers, practiced since 1982 in Parana and since 1993 in Minas Gerais, their offices are expanding the scope of their activities to better meet the interests of clients.

Keeping the values and principles unchanged, we intend to serve employees not only in terms of labor legislation, but also in all aspects of social rights.

The intention (and obligations) is to guarantee customers the high quality of the services provided, demonstrated in the daily practice of labor law, as well as to extend it to other branches of law (Social Security, consumer and civil).

https://www.declatra.adv.br/", 19.06.2023, 73010,"database, over 100Gb of data.,ID CPF,Driver's license,Personal documents of clients\employees,Workbooks,Powers of attorney,Internal documents,Base with CNPJ,Database with phones and emails,,https://anonfiles.com/a599y2x5z3/DECLATRA_part01_rar,https://anonfiles.com/ofFayex0ze/DECLATRA_part02_rar,https://anonfiles.com/qa66y8xcz9/DECLATRA_part03_rar,https://anonfiles.com/m4p1y0x5z4/DECLATRA_part04_rar,https://anonfiles.com/l59ey6x4z5/DECLATRA_part05_rar,https://anonfiles.com/x07dy1x9z0/DECLATRA_part06_rar,https://anonfiles.com/Q0jcy0xfz2/DECLATRA_part07_rar,https://anonfiles.com/i9mcybx7z1/DECLATRA_part08_rar,https://anonfiles.com/Ldb8y8xdz8/DECLATRA_part09_rar,,We downloaded this company's data, and confidential information, because they trusted this company to handle the security of the corporate network:,www.sticonsultoria.com.br - STI Consultoria"
117,CEMAF PARTICIPACOES E ADMINISTRACAO DE BENS LTDA,"Cemaf Participacoes e Administração de Bens LTD are contractors engaged in diverse work ranging from trade to geological exploration activities.

http://cnpj.info/Cemaf-Participacoes-e-Administracao-de-Bens-Ltda", 19.06.2023, 72927,"database, over 277GB of data.,ID CPF,Cadastral documents,Driver's license,Internal documents,Personal documents of employees,Passports,Contracts with customers,Receipts,https://anonfiles.com/V0x12bxcz9/CEMAF_part23_rar,https://anonfiles.com/j6c439x4z9/CEMAF_part22_rar,https://anonfiles.com/KbP12cx5z4/CEMAF_part21_rar,https://anonfiles.com/ZbY929x2z1/CEMAF_part20_rar,https://anonfiles.com/yfa238xczd/CEMAF_part19_rar,https://anonfiles.com/7dnc3ax1z2/CEMAF_part18_rar,https://anonfiles.com/F4Qd30xbzb/CEMAF_part17_rar,https://anonfiles.com/s2n73fxaz5/CEMAF_part16_rar,https://anonfiles.com/m8i83ex3z2/CEMAF_part15_rar,https://anonfiles.com/yds933xaz1/CEMAF_part14_rar,https://anonfiles.com/9aqb3axaz9/CEMAF_part13_rar,https://anonfiles.com/Bd0c3exbz5/CEMAF_part12_rar,https://anonfiles.com/k91137x6z7/CEMAF_part11_rar,https://anonfiles.com/mfz73bx1z5/CEMAF_part10_rar,https://anonfiles.com/U17a3exdzf/CEMAF_part09_rar,https://anonfiles.com/E2A739x1z7/CEMAF_part08_rar,https://anonfiles.com/Y1n64dxfz3/CEMAF_part07_rar,https://anonfiles.com/DdA037x4z6/CEMAF_part06_rar,https://anonfiles.com/10p643xazd/CEMAF_part05_rar,https://anonfiles.com/O9Q23ex2ze/CEMAF_part04_rar,https://anonfiles.com/J5od4fx6z2/CEMAF_part03_rar,https://anonfiles.com/P5t44cx2za/CEMAF_part02_rar,https://anonfiles.com/zeq44axbz3/CEMAF_part01_rar,,,We downloaded this company's data, and confidential information, because they trusted this company to handle the security of the corporate network:,www.sticonsultoria.com.br - STI Consultoria"
118,MAXIMUM PRIME ALIMENTOS EIRELI,"The company MAXIMUM PRIME ALIMENTOS EIRELI founded on 12/22/2020 , is located in the city of Belo Horizonte in the state of Minas Gerais. The main activity, according to the Federal Tax Service, is wholesale trade in slaughtered poultry and derivatives.", 19.06.2023, 71248,"database:,Driver's license,CPF in documents,Cadastral documents,Annual Report,Contract with a partner,Phone numbers and CNPJ,cnpj and email,CPF data,Other,,https://anonfiles.com/0fjcjdx5z1/FRIGOMOREIRA_rar,,We downloaded this company's data, and confidential information, because they trusted this company to handle the security of the corporate network:,www.sticonsultoria.com.br - STI Consultoria"
119,Bibliotheek Gouda,"The Gouda library is more than just a library. We are a complete network of involved and enthusiastic people and initiatives. Everything we do is about sharing, exchanging and working together. We are an enterprising organization, hospitable, alert to new developments and willing to experiment. And everything must have added value for the city in which we are anchored. That makes us the nicest library in the Netherlands.
https://www.bibliotheekgouda.nl/", 11.06.2023, 74218,wZS
120,APIQROO,"The Integral Port Administration of Quintana Roo S.A. of C.V. was constituted on March 17, 1994 before Notary No. 8 Lic. Fernando A. Cuevas Pérez, as a company with majority state participation, integrating with a majority partner that is the Government of the Free and Sovereign State of Quintana Roo, as well as with minority partners that are, the Municipalities of Othón P. Blanco, Cozumel, Isla Mujeres, Benito Juárez and Solidaridad, of the State of Quintana Roo.
https://www.apiqroo.com.mx/
rh@apiqroo.com.mx", 14.05.2023, 82248,a#gLQi-f4aOCd23M4G-R-o3g
121,Good Oil Company,"https://goodoilcompany.com/contact
Good Oil Company was founded by Don O. Good Sr. in 1941. When Don Sr. retired, his two sons, Don and Dean, assumed operation of the company. Based out of Monterey, Indiana, the company was involved mainly in the sale and delivery of petroleum products to farm and home heat customers. Don became a Standard Oil/Amoco jobber and continued to grow his business until his retirement in 1978. In 1980, they relocated the business to its current office in Winamac.
(574) 946-4863
+1 805-279-8265
+1 574-225-1543", 1.06.2023, 76400,"with us, ask us not to upload files, and then disappear. Here's an example for you."
122,Malkasian Accountancy,"Malkasian Accountancy is a local, family-owned company specializing in tax preparation and bookkeeping services for Sacramento small businesses.

As Sacramento's largest independent accounting and bookkeeping firm, Malkasian Accountancy is dedicated to providing local small business-owners with the expert financial support and advice to grow their companies.
https://malkasian.com/
 916.971.9315 / 1-800-598-964", 09.05.2023, 80139,R#GiOEgqLm5Ny_CJilgmWQ8Q
123,SiComputer is a leader in the Italian information technology.,"SiComputer is fully geared to the way computers can improve the lives of those who use them: people are at the center of our work.
+39 0545 33355
https://sicomputer.com/
Via della Dogana, 8/2
48022 Lugo (RA) Italy
P. IVA IT 01250880398
info@sicomputer.it", 29.04.2023, 81501,"R#tBJlnZN8PWxy17m72-rUaA,Pass: sicomputerfiles"
124,Asbestos-Inspections-Solution-Management,"EMS are qualified and experienced asbestos consultants, able to undertake asbestos reinspection surveys and manage portfolios on behalf of clients.
https://www.a-i-s-m.net/", 02.04.2023, 77703,L#up4-J-1epdp6U5qLo-PngQ
125,Just us lawyers,"Just Us Lawyers has an efficient team dedicated to helping you deal with the challenges our legal system imposes in a complex world.
We solve any legal issues
reception@justuslaw.com
Telephone: 07 3369 7145
PO Box 120, Red Hill QLD 4059", 01.04.2023, 78252,Y#XznXKWZBXQ4uOAQoa_46zw
126,Csc Baixo Sul Assessoria e Consultoria Empresarial e Contabil LTDA,"http://www.csconline.com.br/csconline/

The mission of CSC is to deliver quality work through a comprehensive risk analysis, seeking to identify critical points in the transactional activity and planning of its clients, proposing improvements that can increase the synergy between processes and business performance.

Avenida Professor Magalhães Neto, 1.450
Edifício Millenium Empresarial, Sala 507, Pituba
41.810-012| Salvador / BA | Brasil

(71) 3036-9001", 24.03.2023, 80930,L#p7BGnz3X3Dua8sooImQnDQ
127,Artconta - Contabilidade e. Assistência Fiscal,"https://www.artconta.com.br/
https://www.facebook.com/artconta/?locale=pt_BR
Artconta - Contabilidade e. Assistência Fiscal
Accountants", 24.03.2023, 80208,C#4WAL22O2rbesULD_cHl5mw
128,CONTASS,"http://contassconsultoria.com.br/

Accounting and consulting
for public administration
municipal secretaries, directors and civil servants to develop

responsible management, taking into account the principles inherent in public administration

telefone(38) 3218 5900
Rua Tupis, Nº 437 - 2º andar,
B. Melo - Montes Claros - Minas Gerais
Cep 39401-068

telefonecontass@contassconsultoria.com.br", 24.03.2023, 81204,Q#qbiVtuTGr96a00DfVUl-Nw
129,Ellard-Willson Engineering Ltd,"Ellard-Willson Engineering Ltd
Address:
260 Town Centre Blvd, Markham, ON L3R 8H8
Phone:

(905) 940-3100
Fax:

(905) 940-2139", 19.03.2023, 77231,D#raftirfmuQwEJS-c-G54FQ
130,General de Alimentos Nisa C.A. (GENICA),"It is a national company, founded on February 3, 1993, originally born as a company dedicated to the import and marketing of food.
ricardo.mora@outlook.com
ricardomorahernandez@gmail.com
rich_zero71@hotmail.com
danielmh_23@hotmail.com
info.sistemas@genica.com.ve
maurenvega_9@hotmail.com
oswaldomora_endara@hotmail.com
mining.mora@outlook.com

+58-261-4203100", 16.03.2023, 81695,J#CcqGXSl1SeAWlxbkG6Qpyg
131,M Metzler &amp; Associates,"M Metzler & Associates is a Accountant located at 11080 Artesia Blvd E, Cerritos, California  90703, US.

The business is listed under accountant category.", 25.02.2023, 77393,A#WJvmvkOdBFK3SenXNFt39w
132,Zenex,"We are a national manufacturer of liquid chemicals, aerosols, hand soaps, wipes, and custom formulations. We supply distributors around the world with quality products, value, and a commitment to customer service. Take a look at our latest catalog and see just the surface of our capibilities.
https://www.zenexint.com/
https://chemsafeint.com/
Chemsafe International
1 Zenex Circle
Cleveland, OH 44146
Fax: +1(440) 786-7233
+1 (440) 786-7000", 15.03.2023, 77851,a#yxhcJx_mLKgtUQR9P0tTMQ
133,Lake Cable,"We’re an industry leader because we put our customers first, manufacturing reliable, highly-engineered cable solutions to your exact specifications and requirements. That includes Industrial, Utility, Custom OEM and Broadcast quality cable, all proudly made in the USA.

We also focus on innovation, making our cable using cell manufacturing, grouping the entire insulating, cabling, jacketing and packaging process together. This breakthrough, flexible approach unites people, equipment and process in one location, improving quality and efficiency. Whatever your need, our team of Design Engineers and Material Specialists are here to help.

https://www.lakecable.com/
888.518.8086", 12.03.2023, 77884,a#BtKMcCKuQNGPMJgXg61kEQ
134,Midway Ford,"Here at Midway Ford, we’ve been your trusted Ford dealership in Midland for over 50 years. We pride ourselves on offering the finest selection of New Ford cars for sale, as well as a wide range of well-maintained Used Cars and Demo Ford vehicles.

 326 Great Eastern Highway, Midland WA 6056
 (08) 9274 4444", 12.03.2023, 77638,S#1w6b6T2n572tDzkvHBVJKg
135,Thayer Academy,"Thayer Academy embraces community as a core value and sees diversity, equity, and inclusion as essential to the Academy’s mission. From student organizations and activities to faculty development to our academic curriculum, Thayer seeks an affirming and supportive culture which promotes diversity in all its forms.
https://www.thayer.org/admissions/why-thayer
745 Washington Street, Braintree, MA 02184
781.843.3580", 07.03.2023, 80726,Y#KDy_-lJdW8u1PmB4stRUGQ
136,HELPHONE,"HELPHONE is a technology and customer service value-added company. Flexibility is one of our pillars and also one of the most valued by the companies that work with us. With our extensive market experience, we have the knowledge and methodology to help our clients.

HELPHONE OFICINA PRINCIPAL
Calle María Viscarret, 1 Entreplanta
31013 – Artica – (Navarra)
T. 902 107 348 – 948 01 01 01
CIF: B31790108", 05.03.2023, 82882,b#hrHgS61k2HpGr07OPLCxiQ
137,SITARA,"SCIL was incorporated in 1981 and began producing caustic soda in 1985, initially at a rate of 30 metric tones Caustic a day. The plant’s capacity was gradually increased over years to current level of 610 metric tons a day.In addition, various by-product facilities have been added and expanded from time to time to cope with growing demand. Company entered into Textile Spinning Business in 1995. Its specialty chemicals and export division was established in 2001.", 10.02.2023, 74001,"es:,Tax certificates,Production documents,Analytical data,Photos of objects,Internal documentation,Correspondence,Financial documents,Scheduled budget,Personal documents,Internal documents,Contracts,Other,,https://anonymfile.com/abEp4/1721603-epart01.rar,https://anonymfile.com/EpAQo/1721603-epart02.rar,https://anonymfile.com/XPg9K/1721603-epart03.rar,https://anonymfile.com/PNK1r/1721603-epart04.rar,https://anonymfile.com/YP9bY/1721603-epart05.rar,https://anonymfile.com/lLE49/172163190-dpart01.rar,https://anonymfile.com/Qp1zx/172163190-dpart03.rar,https://anonymfile.com/WYngD/172163190-dpart02.rar"
138,Veal and Prasad,"Veal and Prasad are a professional accounting and taxation practice located in Hillcrest QLD
https://www.vealandprasad.com.au/
Phone: (07) 3809 2055
Fax: (07) 3809 2748
Email: jitco@powerup.com.au
Address: Level 1 / 20 Johnson Road Hillcrest QLD 4118
Postal Address: PO BOX 30 Browns Plains 4118", 02.03.2023, 83938,"ta,https://mega.nz/folder/pIhkVA7R#9phk6x9aTCoMtqprWzTFRw"
139,COMPAGNIE REGIONALE D'ALIMENTS (COREAL),"Operating in the livestock (poultry, pig and ruminant) business since 1947, our family business is committed to continuing and sustaining its development as an independent and innovative challenger to serve the entrepreneurial farmers of tomorrow and to serve responsible and competitive sectors.
https://www.michel-nutrition.fr/fr

Group Michel / JYM Nutrition
6 parc de Brocéliande - 35760 SAINT GRÉGOIRE

Tel : 02 23 25 09 71 - Fax : 02 23 25 21 52 - societe@jym-nutrition.fr", 23.02.2023, 84152,"rL5aMkjExOQpzd9c4O831d-BiyxjDCHoulaDg6gthKRvwRhB9ZmckJIGXbEQ6Hi-UQlXDuJo4Wn1lTlxFZ4kzTEd5JoTOGxMeO-WOeNvmQg,password:corealcoreal"
140,Immobilienmakler in Oldenburg,"WE at Immobilienpartner Claussen are at your side in all areas. With a property management of currently more than 3500 units - in the Oldenburg area as well as on Wangerooge and Norderney, with an average of more than 200 apartment rentals per year and numerous successful sales of apartments, private and commercial buildings, we have a maximum of experience, competence and quality.

Get to know us better on a tour of our homepage.

https://immobilienpartner-claussen.de/

Telefon: 0441-9 49 87-0
Telefax: 0441-9 49 87-29
E-Mail: info@immobilienpartner-claussen.de", 18.02.2023, 78347,b#k2NWgAViQcrWPMOYRZj5RA
141,IMASA,"INDUSTRY
food manufacturer; Margarine; oil; highly hydrogenated
https://imasa.com.mx/", 13.02.2023, 78687,S#biFM33ZJi8FuGG6A8kMy0w
142,"MRO SUPPORT, INC","MRO SUPPORT, INC. is your top source for aviation parts such as Aircraft Engines, Engine Stands, GSE etc.
wayneq@mrosupport.net
johnw@mrosupport.net
jackw@mrosupport.net
lukew@mrosupport.net
✆ 5617057339", 05.02.2023, 79466,Q#_QJqnDy93t9yQhGZyq7O4Q
143,Richard W. Fuller CPA,"At Richard W. Fuller CPA we work with clients throughout the Capital District and the North Country to help them achieve their goals by listening to their concerns and simplifying the complexities of taxation and finances. We strive to provide our clients personalized, friendly and timely service in the hometown tradition.
https://rickfullercpa.com/
79 Warren Street
Suite 1C
Glens Falls, NY 12801

 PHONE
(518) 636-5166

 FAX
(518) 636-5585", 25.01.2023, 82671,b#5hoKXVnGjHxSJU25_c0PjA
144,La Canastería,"La Canastería is a leading company in the national market, with more than twenty years of experience; specializing in high-quality gifts, aimed at both the corporate market and the specialized public. more than 3,000 bottles of wine where without a doubt you can find the best variety and selection of wines in the country; in addition to the best selection of Piscos.
https://lacanasteria.com/
ventas@lacanasteria.com

955 366 294

989 234 049", 25.01.2023, 78998,Z#MCVU_K7HJ9ez8WGMB608fQ
145,Neighborhood Progress Fund,"Neighborhood Progress Fund is a nonprofit group that offers small business loans and business development services to entrepreneurs and businesses in distressed communities. We’ve served the Greater Philadelphia Area for twenty years to help stimulate economic growth throughout the region.
https://npfp.org/
Liberty Square, West Tower
1300 W. Lehigh Ave, Suite 100
Philadelphia, PA 19132
215-232-0516 (office) | 215-232-0519 (fax)
contact@npfp.org", 27.01.2023, 79101,S#x9PcY8O8vj_LxbwW9rAPGA
146,Print Globe,"PrintGlobe is your one stop shop for wholesale, custom merchandise! Founded in 1995 with the goal of becoming America’s custom promotional product and business printing superstore, we are a full service supplier of all things custom printed. Whether you’re looking for event giveaways, personalized party supplies, or unique corporate gifts, we have you covered! From office essentials like printed pens and embossed padfolios, to wholesale promotional items such as custom coasters, personalized napkins, or reusable tote bags, we strive to deliver perfectly printed items on time and under budget! Whether you already have a design in mind and your own artwork, or you need us to create something special for you, our easy to use online system and team of friendly and knowledgeable account mangers make ordering custom products a breeze! With our extensive catalog and quality printing capabilities, you are sure to find just the thing you need to make your next event, giveaway, or marketing campaign a success!
(844) 863-0537
https://www.printglobe.com/contact", 27.01.2023, 80577,C#pKCAIcOEkfunesVh7G6utQ
147,China Export &amp; Credit Insurance Corporation,"China Export & Credit Insurance Corporation (hereinafter referred to as ""SINOSURE"") is a state-funded and policy-oriented insurance company established and supported by the state to promote China's foreign economic and trade development and cooperation. As an independent legal person, SINOSURE was officially launched and put into operation on December 18, 2001, whose service network now covers the whole country.
https://www.sinosure.com.cn/en/Sinosure/Profile/index.shtml

yewu@sino-assistance.com", 24.01.2023, 83813,Q#r4jDhKwwYN5afPRM7Oex4g
148,Conklin Benham,"For well over a half-century, Conklin Benham has maintained a sterling reputation in defense litigation. Areas of representation include negligence, workers' compensation, employment law, commercial litigation, appellate law and others.
https://conklinbenham.com/
wnoeske@conklinbenham.com
walter.noeske@gmail.com
dlabadie@conklinbenham.com
labadie@conklinbenham.com
rdanforth@hanover.com
mikebrenton@brentonlaw.com", 24.01.2023, 81887,C#VaNnz6oBCQ268SkQ3QsFSg
149,FORMA ESPACOS IMOBILIARIOS LTDA,"FORMA ESPAÇOS IMOBILIARIOS, a company with 16 years of experience in the Rio Grande do Sul market, based on the determination and trust of its partners, is active as a builder and developer in Serra Gaucha - Rio Grande do Sul. It combines a quality format and knowledge of the local market with the desire to always carry out innovative projects with a high level of execution and service.
ATENDIMENTO@FORMAESPACOS.COM.BR
TELEPHONE: 54 3055.4040
WHATSAPP: 54 9 9164.5935", 14.01.2023, 77917,nz/#P!AgAhAgTNEAi8mEGkb1FprOZVBzMoLRVQbhDPGsiKI5x5z8q-Rf-xbGCHHiPTWYSQZj0DFGkvPnSz7EnZW3ynCgRh-r7-7FeCR39pNtYmHOXYsEa_1c9inw
